Date,Age,Gender,Income,ChessExp,ChessLessons,PeakUSCF,PeakBlitz,GPA,SAT
11/10/2022,20,Male,"$120,000 to $140,000",3-5,Yes,1636,1990,3.86,1570
11/10/2022,19,Male,"$120,000 to $140,000",0-1,No,N/A,800,3.7,1460
11/10/2022,19,Male,"$180,000 to $200,000",0-1,No,1200,N/A,4,1590
11/10/2022,19,Male,"More than $200,000",0-1,No,N/A,520,3.9,1570
11/10/2022,19,Male,"More than $200,000",0-1,No,N/A,N/A,4,1530
11/10/2022,18,Male,"More than $200,000",1-3,Yes,1400,2000,4,1570
11/10/2022,18,Male,"More than $200,000",1-3,Yes,1400,2000,4,1570
11/10/2022,19,Male,"More than $200,000",5+,Yes,2050,2200,3.97,1500
11/10/2022,19,Male,"$100,000 to $120,000",5+,Yes,793,1080 chesscom,3.63,1390
11/11/2022,20,Male,"More than $200,000",0-1,No,N/A,1021,3.8,1310
11/11/2022,20,Male,"$140,000 to $160,000",5+,Yes,1600,1400,3.67,1480
11/11/2022,21,Male,"$80,000 to $100,000",5+,No,NA,1399,3.4,1360
11/11/2022,18,Other,"Under $20,000",3-5,No,1250,1600,3,1300
11/11/2022,22,Male,"More than $200,000",5+,No,N/A,1600,4,1500
11/11/2022,19,Male,"$180,000 to $200,000",1-3,No,N/A,1600,3.9,1500
11/11/2022,20,Male,"More than $200,000",5+,Yes,2050,2300,3.9,1580
11/11/2022,20,Female,"More than $200,000",5+,Yes,2350,2400,4,1580
11/11/2022,20,Female,"$140,000 to $160,000",1-3,No,N/A,600,3.5,1500
11/11/2022,30,Male,"More than $200,000",5+,No,1980,2000,4,1580
11/11/2022,19,Male,"More than $200,000",5+,Yes,2100,2200,3.9,1550
11/11/2022,19,Male,"More than $200,000",0-1,No,N/A,500,4,1570
11/11/2022,20,Male,"More than $200,000",0-1,No,N/A,500,4,1600
11/11/2022,17,Female,"More than $200,000",5+,Yes,2000,2200,4,1540
11/11/2022,19,Female,"$100,000 to $120,000",5+,No,1800,1800,3.7,1500
11/11/2022,19,Male,"$160,000 to $180,000",5+,Yes,2100,2250,4,1570
11/11/2022,19,Male,"$160,000 to $180,000",5+,Yes,2100,2250,4,1570
11/11/2022,19,Male,"More than $200,000",1-3,No,N/A,1000,4,1600
11/11/2022,20,Male,"$120,000 to $140,000",1-3,No,N/A,700,3,1400
11/11/2022,20,Male,"More than $200,000",1-3,No,700,700,3.8,N/A
11/11/2022,20,Male,"$120,000 to $140,000",5+,Yes,1600,1900,4,1580
11/11/2022,20,Female,"More than $200,000",5+,Yes,2450,2600,4,1580
11/11/2022,20,Male,"$140,000 to $160,000",3-5,No,N/A,2000,3.9,1560
11/11/2022,18,Male,"More than $200,000",5+,Yes,2000,2200,3.6,1450
11/11/2022,20,Male,"$140,000 to $160,000",3-5,No,700,600,4,1560
11/11/2022,18,Female,"More than $200,000",3-5,Yes,2150,2300,4,1550
11/11/2022,17,Male,"More than $200,000",5+,Yes,2250,2400,3.5,1400
11/11/2022,20,Male,"More than $200,000",5+,Yes,2200,2300,4,1560
11/11/2022,20,Male,"More than $200,000",5+,Yes,2200,2300,4,1560
11/11/2022,18,Female,"More than $200,000",0-1,No,N/A,N/A,3.9,1550
11/11/2022,18,Female,"More than $200,000",1-3,No,N/A,500,3.8,1580
11/11/2022,20,Male,"$80,000 to $100,000",1-3,No,1000,1300,3.7,1500
11/11/2022,20,Male,"More than $200,000",5+,Yes,2100,2400,4,1540
11/11/2022,20,Male,"$120,000 to $140,000",3-5,No,1000,1500,3.8,1550
11/11/2022,20,Male,"$160,000 to $180,000",0-1,No,1400,1500,4,1590
11/11/2022,20,Male,"More than $200,000",5+,Yes,2100,2100,4,1570
